,is_not_hispanic,is_male,preapproval_requested,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt,derived_race_Asian,derived_race_Black or African American,derived_race_Minority Races,derived_race_White,debt_to_income_ratio_20%-<30%,debt_to_income_ratio_30%-<36%,debt_to_income_ratio_36%-<50%,debt_to_income_ratio_50%-60%,debt_to_income_ratio_<20%,debt_to_income_ratio_>60%,applicant_age_25-34,applicant_age_35-44,applicant_age_45-54,applicant_age_55-64,applicant_age_65-74,applicant_age_<25,applicant_age_>74,loan_type_Converntional,loan_type_FHA-insured,loan_type_VA-guaranteed,loan_purpose_Home Improvement,loan_purpose_Home Purchase,loan_purpose_Other Purpose,loan_purpose_Refinancing
7092,1.0,1.0,0.0,-1.0906743968488644,0.8901157263398104,0.23625225538129552,0.13698346380285525,-0.09533792809670999,0.7448083537892903,-0.290702407834981,-0.13919309466603966,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7093,1.0,0.0,0.0,0.20219464156298303,1.0197570708352433,0.23625225538129552,0.13698346380285525,-0.08571393069471715,0.816460558724496,0.1187865792780793,-0.008477880067201295,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7094,1.0,0.0,0.0,1.1872377184482,0.2709008665506145,0.23625225538129552,0.13698346380285525,0.32811795759097445,0.3642162132884535,-0.9458847872158778,0.2360048768910882,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7095,1.0,1.0,0.0,-0.4134572814902776,-0.33103115393220023,0.23625225538129552,0.13698346380285525,-0.24932188652859524,-0.08635533865322455,2.3300271096886056,0.05142626834330615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7096,1.0,1.0,0.0,1.0025421415322218,-0.15266904433873146,-4.232763824354034,0.13698346380285525,0.31849396018898163,0.05750447447474019,0.1187865792780793,0.794942463320781,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7097,1.0,0.0,0.0,-0.19797910842163638,1.0398067684064516,0.23625225538129552,0.13698346380285525,-0.22686589259061196,0.827327129806472,-0.9458847872158778,-0.4897246521717821,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7098,1.0,0.0,0.0,0.3868902184789612,0.35811705098537033,0.23625225538129552,0.13698346380285525,-0.050425940220743454,0.42217422558803436,-0.290702407834981,-0.06167007907597112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7099,1.0,1.0,0.0,1.0025421415322218,-0.2516744509453577,0.23625225538129552,0.13698346380285525,-0.12420992030268847,-0.02113115668296933,0.1187865792780793,-0.08499410324700916,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7100,1.0,0.0,0.0,-0.04406612765832122,1.2298779013815058,0.23625225538129552,0.13698346380285525,-0.2685698813325809,0.9276449178005741,1.5110491354624849,-0.1465762390079509,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7101,1.0,0.0,0.0,0.14062944925765697,0.7591110024095358,0.23625225538129552,0.13698346380285525,-0.22365789345661435,0.6698338849845092,0.1187865792780793,-0.28266101312817926,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
